Date-obs_corrected_midexp),XPOS,YPOS,RA,DEC
2021-11-08T10:16:33.989,1068.232178,821.0957031,353.354302,-5.740572866
2021-11-08T10:16:42.469,1068.034058,820.9603882,353.3832757,-5.712700966
2021-11-08T10:16:50.910,1068.869995,821.291748,353.410545,-5.686190868
2021-11-08T10:16:59.279,1068.686279,821.9110718,353.4387415,-5.659198469
2021-11-08T10:17:07.859,1069.109619,822.5691528,353.4664763,-5.632208325
2021-11-08T10:17:16.259,1068.900269,823.8132324,353.4946596,-5.605132225
2021-11-08T10:17:24.790,1069.553589,824.8986206,353.5229436,-5.577715431
2021-11-08T10:17:41.889,1069.156372,827.6914673,353.5791007,-5.523155207
2021-11-08T10:17:50.410,1068.933105,827.602417,353.6077804,-5.495862378
2021-11-08T10:17:58.859,1069.950439,827.7303467,353.6350549,-5.469393353
2021-11-08T10:18:07.300,1070.043701,826.8804321,353.663711,-5.442118802
2021-11-08T10:18:15.819,1069.990723,825.6548462,353.6909164,-5.415386678
2021-11-08T10:18:24.180,1070.920532,823.1730347,353.7190716,-5.388120227
2021-11-08T10:18:32.680,1070.624512,819.7553101,353.7472715,-5.360834897
2021-11-08T10:18:41.179,1070.659546,817.4564209,353.7752323,-5.333875152
2021-11-08T10:18:49.749,1071.553833,815.5202637,353.8038764,-5.305997878
2021-11-08T10:18:58.200,1071.547363,815.5050659,353.8362074,-5.274667583
2021-11-08T10:19:08.220,1071.921143,816.5720215,353.8637181,-5.247865376
2021-11-08T10:19:16.640,1071.890015,819.3363037,353.8919929,-5.220689525
2021-11-08T10:19:25.049,1072.034668,822.9580688,353.9191798,-5.194167015
2021-11-08T10:19:33.590,1072.409302,826.1686401,353.9479554,-5.166358437
2021-11-08T10:19:42.099,1072.556885,827.9829102,353.9760658,-5.139040888
2021-11-08T10:19:50.520,1073.043701,827.8206787,354.007235,-5.108926139
2021-11-08T10:19:59.840,1072.815063,826.625,354.0350291,-5.082058235
2021-11-08T10:20:08.449,1072.608276,824.1247559,354.0629675,-5.054905581
2021-11-08T10:20:16.960,1072.62561,822.8430786,354.0918365,-5.026992901
2021-11-08T10:20:25.500,1073.326294,820.572876,354.1197146,-4.999757947
2021-11-08T10:23:07.689,1073.054199,816.8007813,354.657084,-4.481162799
2021-11-08T10:23:42.539,1071.953125,829.8548584,354.7680464,-4.371683781
2021-11-08T10:24:16.710,1071.781982,823.5751953,354.8780245,-4.263048055
2021-11-08T10:24:33.749,1071.527588,821.2822266,354.9327333,-4.208563846
2021-11-08T10:24:42.050,1071.535034,820.835022,354.9604519,-4.181533837
2021-11-08T10:24:59.190,1071.129761,821.545105,355.0158149,-4.12700986
2021-11-08T10:25:07.519,1071.172363,822.3569946,355.0438092,-4.099252485
2021-11-08T10:25:16.210,1071.172241,823.4705811,355.0714396,-4.07227987
2021-11-08T10:25:24.680,1071.244507,824.6227417,355.0990891,-4.045149654
2021-11-08T10:25:33.279,1071.039307,825.8666382,355.1266845,-4.018352018
2021-11-08T10:25:41.709,1070.784424,826.4022827,355.1537183,-3.991731731
2021-11-08T10:25:50.090,1070.887329,826.4949951,355.1811975,-3.965103839
