Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC,,,,,
2022-03-02T12:21:01.039,1099.913574,960.4588013,109.9116404,5.884096935,,,,,
2022-03-02T12:21:09.890,1100.456055,960.3825073,109.9504002,5.884112086,,,,,
2022-03-02T12:21:19.239,1100.382935,960.258728,109.9882228,5.884211202,,,,,
2022-03-02T12:21:28.139,1100.067749,960.5217896,110.0238962,5.884348546,,,,,
2022-03-02T12:21:36.679,1100.277954,959.7498169,110.059657,5.884351932,,,,,
2022-03-02T12:21:45.260,1100.22644,960.541748,110.0955272,5.884536693,,,,,
2022-03-02T12:21:53.929,1099.81604,960.6702271,110.1354417,5.884603985,,,,,
2022-03-02T12:22:03.189,1100.139771,960.4258423,110.1736918,5.884499892,,,,,
2022-03-02T12:22:12.610,1100.105103,960.9303589,110.2118919,5.884722762,,,,,
2022-03-02T12:22:21.610,1099.913208,960.9588013,110.2485408,5.884774429,,,,,
2022-03-02T12:22:30.950,1100.574585,961.2648926,110.2851131,5.884972652,,,,,
2022-03-02T12:22:39.330,1099.919922,960.6152954,110.3204797,5.884926355,,,,,
2022-03-02T12:22:47.730,1100.251343,960.3162231,110.3561318,5.885063638,,,,,
2022-03-02T12:22:56.310,1100.018188,960.3757935,110.3916408,5.885062443,,,,,
2022-03-02T12:23:04.800,1099.449951,960.6963501,110.4346286,5.885151625,,,,,
2022-03-02T12:23:15.089,1099.599854,960.7396851,110.4738919,5.885244503,,,,,
2022-03-02T12:23:24.410,1099.693604,960.7175903,110.50919,5.885315552,,,,,
2022-03-02T12:23:33.000,1099.669189,960.6766968,110.5497831,5.885425737,,,,,
2022-03-02T12:23:42.590,1099.484619,960.819458,110.5849475,5.885499581,,,,,
2022-03-02T12:23:51.160,1099.299072,960.5,110.6232108,5.88555631,,,,,
2022-03-02T12:24:00.120,1099.021729,959.9589233,110.6582577,5.885519214,,,,,
2022-03-02T12:24:08.550,1099.040039,960.3093872,110.6940785,5.885694337,,,,,
2022-03-02T12:24:17.179,1097.785767,960.4169312,110.7404191,5.885822235,,,,,
2022-03-02T12:24:28.369,1098.230835,960.3010254,110.7758567,5.885955932,,,,,
2022-03-02T12:24:36.859,1097.910156,960.3644409,110.8116927,5.88600973,,,,,
2022-03-02T12:24:45.249,1098.246704,960.0480347,110.8473611,5.885983604,,,,,
2022-03-02T12:24:53.819,1098.830566,959.7948608,110.8830022,5.885979129,,,,,
2022-03-02T12:25:02.519,1098.462158,960.3699341,110.9190564,5.886222561,,,,,
2022-03-02T12:25:11.030,1098.826294,959.951416,110.9547448,5.886298285,,,,,
2022-03-02T12:25:19.619,1098.702881,960.5552979,110.990765,5.886415053,,,,,
2022-03-02T12:25:28.020,1098.634644,960.3339233,111.0260305,5.886436374,,,,,
2022-03-02T12:25:36.730,1098.85791,960.2680664,111.0614455,5.886539757,,,,,
2022-03-02T12:25:45.050,1099.156494,960.3416748,111.1013009,5.886569465,,,,,
2022-03-02T12:25:54.609,1099.179321,960.4725952,111.1372465,5.886750573,,,,,
2022-03-02T12:26:03.209,1098.985962,960.2865601,111.1735796,5.886762267,,,,,
2022-03-02T12:26:11.960,1099.662231,960.3804932,111.209037,5.886821244,,,,,
2022-03-02T12:26:20.439,1099.317871,960.3741455,111.2445406,5.886959971,,,,,
2022-03-02T12:26:29.000,1099.169922,960.1547241,111.2804136,5.886995385,,,,,
2022-03-02T12:26:46.080,1099.069336,960.7921753,111.3517903,5.88717878,,,,,
2022-03-02T12:26:54.620,1099.005981,959.93396,111.3879008,5.887152255,,,,,
2022-03-02T12:27:03.300,1099.668823,960.5215454,111.4269428,5.887345217,,,,,
2022-03-02T12:27:12.599,1098.967285,960.9799805,111.4628251,5.887484606,,,,,
2022-03-02T12:27:21.070,1099.571899,960.6592407,111.4992407,5.88746338,,,,,
2022-03-02T12:27:29.860,1099.449951,960.6077271,111.5347383,5.887574049,,,,,
2022-03-02T12:27:38.539,1099.300171,960.3851929,111.5709257,5.88757599,,,,,
2022-03-02T12:27:47.060,1099.295532,960.1937866,111.6092927,5.887703313,,,,,
2022-03-02T12:27:56.270,1099.093628,960.272583,111.6449189,5.887759525,,,,,
2022-03-02T12:28:04.839,1099.022095,960.3466187,111.6801443,5.887880039,,,,,
2022-03-02T12:28:13.249,1099.429443,960.6608887,111.7163991,5.887964373,,,,,
2022-03-02T12:28:21.889,1099.508179,960.6376343,111.7568404,5.888057853,,,,,
